Reference,Account Number,Description,Start Balance,Mutation,End Balance
165917,NL90ABNA0585647886,Flowers for Peter Bakker,59.04,-8.33,50.71
112806,NL90ABNA0585647886,Clothes for Vincent King,105.42,-37.33,68.09
181583,NL69ABNA0433647324,Tickets from Erik Dekker,52.26,36.98,89.24
130840,NL32RABO0195610843,Tickets from Richard King,25.19,-27.58,-2.39
112806,NL32RABO0195610843,Clothes for Dani�l Bakker,79.84,-32.2,47.64
112806,NL32RABO0195610843,Candy from Rik King,48.16,-10.87,37.29
141420,NL91RABO0315273637,Subscription from Richard Theu�,61.71,2.96,64.67
186271,NL56RABO0149876948,Candy from Rik de Vries,98.44,17.07,115.51
152024,NL27SNSB0917829871,Subscription from Peter Theu�,53.63,2.09,55.72
105587,NL32RABO0195610843,Clothes for Dani�l de Vries,57.51,14.97,72.48
